fips,county,state
6001,Alameda,CA
6003,Alpine,CA
6005,Amador,CA
6007,Butte,CA
6009,Calaveras,CA
6011,Colusa,CA
6013,Contra Costa,CA
6015,Del Norte,CA
6017,El Dorado,CA
6019,Fresno,CA
6021,Glenn,CA
6023,Humboldt,CA
6025,Imperial,CA
6027,Inyo,CA
6029,Kern,CA
6031,Kings,CA
6033,Lake,CA
6035,Lassen,CA
6037,Los Angeles,CA
6039,Madera,CA
6041,Marin,CA
6043,Mariposa,CA
6045,Mendocino,CA
6047,Merced,CA
6049,Modoc,CA
6051,Mono,CA
6053,Monterey,CA
6055,Napa,CA
6057,Nevada,CA
6059,Orange,CA
6061,Placer,CA
6063,Plumas,CA
6065,Riverside,CA
6067,Sacramento,CA
6069,San Benito,CA
6071,San Bernardino,CA
6073,San Diego,CA
6075,San Francisco,CA
6077,San Joaquin,CA
6079,San Luis Obispo,CA
6081,San Mateo,CA
6083,Santa Barbara,CA
6085,Santa Clara,CA
6087,Santa Cruz,CA
6089,Shasta,CA
6091,Sierra,CA
6093,Siskiyou,CA
6095,Solano,CA
6097,Sonoma,CA
6099,Stanislaus,CA
6101,Sutter,CA
6103,Tehama,CA
6105,Trinity,CA
6107,Tulare,CA
6109,Tuolumne,CA
6111,Ventura,CA
6113,Yolo,CA
6115,Yuba,CA
