county,avg_population,fips,avg_asthma_prevalence,num_asthma_cases,avg_number_ed_visits,DS_PM_pred,DS_PM_stdd,DS_O3_pred,DS_O3_stdd
Alameda,1662307.75,6001,8.466666666666667,140742.05616666668,8642.0,10.095239860894212,3.627715254816647,31.868148163761482,3.520694622927932
Alpine,1094.0,6003,9.933333333333334,108.67066666666666,0.0,6.623338806787083,2.938604575807334,46.39666371100164,5.33909802955665
Amador,38778.75,6005,9.933333333333334,3852.0225,173.0,8.86255489321197,3.681367641739544,44.02339096317449,4.515012701528943
Butte,226113.0,6007,11.233333333333334,25400.027000000002,882.0,10.568622592840097,4.342972918695306,42.15141285494564,4.400108068947229
Calaveras,45651.5,6009,9.933333333333334,4534.715666666666,187.8,9.474164926016012,3.958911911421911,44.85814216073781,4.677321668186886
Colusa,21510.0,6011,10.200000000000001,2194.02,89.4,9.147885385748868,3.790137778128618,38.784059372697605,4.333354036417219
Contra Costa,1146712.0,6013,10.866666666666667,124609.37066666667,6299.2,10.545637636956632,3.922337678999134,34.160865190337866,3.70099111909494
Del Norte,27571.25,6015,9.466666666666667,2610.0783333333334,142.2,7.281131077583019,3.871375754012277,30.99778855114267,5.116245610531765
El Dorado,189561.0,6017,9.200000000000001,17439.612,581.8,7.861665919134932,3.201081521825612,45.43338054802117,4.580367780550432
Fresno,988279.75,6019,12.466666666666669,123205.5421666667,7235.2,14.17678964536612,5.324745618712961,47.18769760646923,4.311180921978402
Glenn,28031.5,6021,10.200000000000001,2859.213,114.6,9.859770301864204,4.235746733367539,39.44486296391312,4.389786813750641
Humboldt,136149.75,6023,11.466666666666667,15611.838,760.6,7.096541763673999,3.730685558186858,29.64325179103954,4.12431922429218
Imperial,181141.5,6025,11.366666666666667,20589.7505,1262.2,9.433222043683568,4.031476122540922,42.303526326942645,4.379718613071699
Inyo,17943.75,6027,9.933333333333334,1782.4125,92.4,6.67685436325488,2.794711484583105,42.53207831600073,4.771662187557015
Kern,890543.0,6029,11.866666666666667,105677.76933333333,4860.8,12.533500595497529,5.088854830562858,49.68786239677902,4.617911122946574
Kings,150842.25,6031,12.966666666666669,19559.211750000002,987.4,14.688342779516864,5.819294559683421,46.57560803063414,4.539433910184474
Lake,64179.25,6033,12.866666666666667,8257.730166666668,492.2,7.86159985068072,3.30599938954765,36.74819360832404,4.327557596027161
Lassen,30708.0,6035,9.466666666666667,2907.024,122.2,7.579007851365323,3.808171980782096,42.95315392568266,5.703639804171988
Los Angeles,10080608.0,6037,8.133333333333333,819889.4506666666,49208.4,11.515039665077461,4.389488991854781,44.18486567162149,4.186685383794083
Madera,155897.0,6039,11.933333333333332,18603.708666666666,912.0,12.788373291636805,4.987636203227138,46.111031233305106,4.550721610528373
Marin,259699.75,6041,7.966666666666666,20689.413416666666,554.2,8.862419458675408,3.351063489116455,30.424496392136383,3.62434998114357
Mariposa,17369.5,6043,9.933333333333334,1725.3703333333333,67.8,10.0871677869002,4.464930814632366,46.7588770297391,4.866600328407225
Mendocino,87252.75,6045,8.133333333333335,7096.557000000001,498.6,7.718001469582149,3.295963959056941,31.75868677770761,4.362534333228081
Merced,272638.75,6047,11.6,31626.094999999998,2020.4,12.391904424862911,4.892851940050926,43.99137963379716,4.541047721533699
Modoc,8869.5,6049,9.466666666666667,839.646,68.4,6.975358784893268,3.760558067870826,40.32619748221127,6.070749425287356
Mono,14368.5,6051,9.933333333333334,1427.271,46.4,8.997423834445014,3.741778216179237,44.60767400376262,5.459982059175646
Monterey,434124.5,6053,7.466666666666668,32414.629333333334,1863.6,6.370775359641709,2.469681933688634,34.19048757366173,3.978762216204718
Napa,139312.75,6055,13.95,19434.128624999998,511.2,9.121675779419814,3.512081843048714,34.8638675,3.895179902846196
Nevada,99385.75,6057,7.2,7155.774000000001,272.2,7.898096584572491,3.129581890231309,45.98875701672863,4.599490752788104
Orange,3172735.0,6059,6.766666666666667,214688.40166666667,8948.2,11.653807839066218,4.584103514621972,42.891609894830445,4.264539021660872
Placer,388679.25,6061,8.766666666666667,34074.214250000005,1095.6,9.371577342658227,3.624198159916887,43.39405099742172,4.179230237493428
Plumas,18718.25,6063,9.466666666666667,1771.9943333333333,92.8,8.553505613417782,3.748792729689577,44.413242661662366,5.37311789819376
Riverside,2427845.0,6065,8.866666666666665,215268.9233333333,9595.0,10.18262933331454,4.040373696220788,51.6837896772572,4.638262153505728
Sacramento,1532273.0,6067,10.299999999999999,157824.11899999998,9571.6,11.019321674460356,4.239547771675937,40.21023506656935,3.953751382478041
San Benito,60916.0,6069,8.1,4934.196,310.4,6.836478988906807,2.562873609050481,37.683054928407365,4.042365806577726
San Bernardino,2157435.75,6071,8.966666666666667,193450.07225000003,11309.0,10.78108098516906,4.180593259750728,53.64273819323201,4.643094365087753
San Diego,3324879.25,6073,7.6000000000000005,252690.82300000003,10272.4,9.823647673338174,4.148434190652806,42.939960697729525,4.33269109554904
San Francisco,877949.25,6075,7.533333333333334,66138.8435,2983.4,9.520336158334665,3.489807171138796,28.856940577650004,3.434808868125433
San Joaquin,747686.0,6077,9.766666666666666,73023.99933333333,4569.0,12.117603006788798,4.694662355723995,39.77731723589853,4.141654343743323
San Luis Obispo,282687.25,6079,5.666666666666667,16018.944166666668,826.6,7.138379581768604,2.812704179014682,37.24982371498161,4.054098256237082
San Mateo,768015.25,6081,10.633333333333333,81665.62158333334,2292.2,8.963961159777538,3.440541550070962,30.299276769477324,3.657033050162636
Santa Barbara,445479.25,6083,5.25,23387.660625,1457.4,7.62595720502816,2.942215936218169,37.239073219634776,3.934889976047975
Santa Clara,1930266.75,6085,7.666666666666667,147987.11750000002,5534.0,9.071321040573308,3.345192855734534,35.76781260731503,3.885585184463497
Santa Cruz,274076.5,6087,9.0,24666.885,813.6,7.316071183262462,2.715725364497204,33.95234824986219,3.894079902945114
Shasta,179436.0,6089,9.533333333333333,17106.232,740.6,8.629183017370064,4.061901977088705,38.9148696544081,4.151092652779663
Sierra,2988.75,6091,9.466666666666667,282.935,9.0,7.299511784345922,3.153150213464696,45.860944608648055,5.254391351943076
Siskiyou,43521.75,6093,9.466666666666667,4120.059,149.8,8.069497801216269,3.831915513112885,37.528693416951725,4.973296997339415
Solano,443934.25,6095,13.533333333333333,60079.101833333334,3392.0,9.99055861774551,3.902519403017144,35.394891065612704,3.787029134437056
Sonoma,499498.75,6097,10.700000000000001,53446.36625000001,1763.0,8.1586715090522,3.310124583577666,32.47836948877654,3.937758532101368
Stanislaus,545689.5,6099,10.799999999999999,58934.46599999999,2983.4,12.653698706862713,4.840085062021242,42.909083558763164,4.300251599318103
Sutter,96316.25,6101,11.033333333333333,10626.892916666668,305.4,10.71829183152188,4.2107146813668,39.90200633878072,4.118296410978184
Tehama,64100.5,6103,10.200000000000001,6538.251,314.0,9.015758251474404,3.753104458645907,40.383463958480775,4.389962269403161
Trinity,12601.5,6105,9.466666666666667,1192.942,56.4,6.894584442923937,3.502783164556962,36.46970046755616,4.932313000342114
Tulare,463081.75,6107,11.200000000000001,51865.15600000001,2050.4,15.517773282956163,6.68321301465158,49.04573259745741,4.678210071477554
Tuolumne,54152.75,6109,9.933333333333334,5379.1731666666665,226.2,9.671643273313032,4.272706525442429,46.10800564014299,4.812979045853745
Ventura,847628.75,6111,6.766666666666667,57356.21208333333,2654.0,8.584241138653336,3.272457402518826,43.2037422845051,4.333011363572898
Yolo,218680.5,6113,11.133333333333333,24346.429,814.0,10.436496028575393,4.270373991223092,38.47404789593816,3.96000050820313
Yuba,76938.75,6115,13.333333333333334,10258.5,334.0,10.585130770213077,4.159472789331582,41.31142746278459,4.29196707895505
