_id,COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
1,California,2015,Total population,All ages,All ages,"191,904",50.4,
2,Alameda,2015,Total population,All ages,All ages,"9,939",64.3,
3,Alpine,2015,Total population,All ages,All ages,0,0,
4,Amador,2015,Total population,All ages,All ages,196,58.4,
5,Butte,2015,Total population,All ages,All ages,"1,044",50.2,
6,Calaveras,2015,Total population,All ages,All ages,185,48,
7,Colusa,2015,Total population,All ages,All ages,97,41.4,
8,Contra Costa,2015,Total population,All ages,All ages,"6,858",65.2,
9,Del Norte,2015,Total population,All ages,All ages,140,53,
10,El Dorado,2015,Total population,All ages,All ages,592,36.4,
11,Fresno,2015,Total population,All ages,All ages,"7,936",77,
12,Glenn,2015,Total population,All ages,All ages,122,42.6,
13,Humboldt,2015,Total population,All ages,All ages,835,63.4,
14,Imperial,2015,Total population,All ages,All ages,"1,388",71.2,
15,Inyo,2015,Total population,All ages,All ages,88,53.5,
16,Kern,2015,Total population,All ages,All ages,"5,859",62.3,
17,Kings,2015,Total population,All ages,All ages,"1,250",78.6,
18,Lake,2015,Total population,All ages,All ages,478,80.4,
19,Lassen,2015,Total population,All ages,All ages,148,45.3,
20,Los Angeles,2015,Total population,All ages,All ages,"52,227",53.1,
21,Madera,2015,Total population,All ages,All ages,"1,031",62.3,
22,Marin,2015,Total population,All ages,All ages,541,22.2,
23,Mariposa,2015,Total population,All ages,All ages,79,47.4,
24,Mendocino,2015,Total population,All ages,All ages,479,57.4,
25,Merced,2015,Total population,All ages,All ages,"2,425",87.4,
26,Modoc,2015,Total population,All ages,All ages,53,67.9,
27,Mono,2015,Total population,All ages,All ages,43,32,
28,Monterey,2015,Total population,All ages,All ages,"2,194",50.2,
29,Napa,2015,Total population,All ages,All ages,572,41.9,
30,Nevada,2015,Total population,All ages,All ages,351,42.8,
31,Orange,2015,Total population,All ages,All ages,"10,275",33.9,
32,Placer,2015,Total population,All ages,All ages,"1,125",31.4,
33,Plumas,2015,Total population,All ages,All ages,99,56.3,
34,Riverside,2015,Total population,All ages,All ages,"10,111",43.2,
35,Sacramento,2015,Total population,All ages,All ages,"10,109",69.2,
36,San Benito,2015,Total population,All ages,All ages,285,50.1,
37,San Bernardino,2015,Total population,All ages,All ages,"12,761",59.3,
38,San Diego,2015,Total population,All ages,All ages,"11,646",37,
39,San Francisco,2015,Total population,All ages,All ages,"3,141",41.3,
40,San Joaquin,2015,Total population,All ages,All ages,"4,802",66.2,
41,San Luis Obispo,2015,Total population,All ages,All ages,950,40.1,
42,San Mateo,2015,Total population,All ages,All ages,"2,695",36.4,
43,Santa Barbara,2015,Total population,All ages,All ages,"1,734",40.7,
44,Santa Clara,2015,Total population,All ages,All ages,"6,521",35.1,
45,Santa Cruz,2015,Total population,All ages,All ages,910,36.5,
46,Shasta,2015,Total population,All ages,All ages,"1,015",60.5,
47,Sierra,2015,Total population,All ages,All ages,9,,Rate not available due to statistical instability
48,Siskiyou,2015,Total population,All ages,All ages,176,47,
49,Solano,2015,Total population,All ages,All ages,"3,415",83.2,
50,Sonoma,2015,Total population,All ages,All ages,"1,936",40.2,
51,Stanislaus,2015,Total population,All ages,All ages,"3,281",60.7,
52,Sutter,2015,Total population,All ages,All ages,337,34.1,
53,Tehama,2015,Total population,All ages,All ages,323,52.7,
54,Trinity,2015,Total population,All ages,All ages,67,60.5,
55,Tulare,2015,Total population,All ages,All ages,"2,542",51.3,
56,Tuolumne,2015,Total population,All ages,All ages,257,53.1,
57,Ventura,2015,Total population,All ages,All ages,"2,933",35.3,
58,Yolo,2015,Total population,All ages,All ages,852,44.1,
59,Yuba,2015,Total population,All ages,All ages,346,45.4,
60,California,2015,Child vs. adult,0–17 years,0–17 years,"74,050",80.6,
61,Alameda,2015,Child vs. adult,0–17 years,0–17 years,"3,426",96.7,
62,Alpine,2015,Child vs. adult,0–17 years,0–17 years,0,0,
63,Amador,2015,Child vs. adult,0–17 years,0–17 years,45,85.1,
64,Butte,2015,Child vs. adult,0–17 years,0–17 years,308,68.7,
65,Calaveras,2015,Child vs. adult,0–17 years,0–17 years,46,63,
66,Colusa,2015,Child vs. adult,0–17 years,0–17 years,48,77,
67,Contra Costa,2015,Child vs. adult,0–17 years,0–17 years,"2,330",95.2,
68,Del Norte,2015,Child vs. adult,0–17 years,0–17 years,49,85.2,
69,El Dorado,2015,Child vs. adult,0–17 years,0–17 years,170,46.8,
70,Fresno,2015,Child vs. adult,0–17 years,0–17 years,"4,482",156,
71,Glenn,2015,Child vs. adult,0–17 years,0–17 years,39,51.8,
72,Humboldt,2015,Child vs. adult,0–17 years,0–17 years,153,59.3,
73,Imperial,2015,Child vs. adult,0–17 years,0–17 years,737,140.1,
74,Inyo,2015,Child vs. adult,0–17 years,0–17 years,33,92,
75,Kern,2015,Child vs. adult,0–17 years,0–17 years,"2,566",96.8,
76,Kings,2015,Child vs. adult,0–17 years,0–17 years,615,143.4,
77,Lake,2015,Child vs. adult,0–17 years,0–17 years,115,90.6,
78,Lassen,2015,Child vs. adult,0–17 years,0–17 years,33,59.7,
79,Los Angeles,2015,Child vs. adult,0–17 years,0–17 years,"20,540",88.7,
80,Madera,2015,Child vs. adult,0–17 years,0–17 years,586,133,
81,Marin,2015,Child vs. adult,0–17 years,0–17 years,167,33.5,
82,Mariposa,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
83,Mendocino,2015,Child vs. adult,0–17 years,0–17 years,130,69,
84,Merced,2015,Child vs. adult,0–17 years,0–17 years,"1,110",139.8,
85,Modoc,2015,Child vs. adult,0–17 years,0–17 years,19,100.1,
86,Mono,2015,Child vs. adult,0–17 years,0–17 years,16,52.7,
87,Monterey,2015,Child vs. adult,0–17 years,0–17 years,970,84.2,
88,Napa,2015,Child vs. adult,0–17 years,0–17 years,190,62.5,
89,Nevada,2015,Child vs. adult,0–17 years,0–17 years,79,47.9,
90,Orange,2015,Child vs. adult,0–17 years,0–17 years,"4,279",59.7,
91,Placer,2015,Child vs. adult,0–17 years,0–17 years,337,41.5,
92,Plumas,2015,Child vs. adult,0–17 years,0–17 years,21,65.2,
93,Riverside,2015,Child vs. adult,0–17 years,0–17 years,"3,917",64.9,
94,Sacramento,2015,Child vs. adult,0–17 years,0–17 years,"3,285",90.8,
95,San Benito,2015,Child vs. adult,0–17 years,0–17 years,115,76.6,
96,San Bernardino,2015,Child vs. adult,0–17 years,0–17 years,"5,019",87.7,
97,San Diego,2015,Child vs. adult,0–17 years,0–17 years,"4,616",62.1,
98,San Francisco,2015,Child vs. adult,0–17 years,0–17 years,850,64.9,
99,San Joaquin,2015,Child vs. adult,0–17 years,0–17 years,"1,868",95.1,
100,San Luis Obispo,2015,Child vs. adult,0–17 years,0–17 years,321,65,
101,San Mateo,2015,Child vs. adult,0–17 years,0–17 years,826,49.5,
102,Santa Barbara,2015,Child vs. adult,0–17 years,0–17 years,689,70,
103,Santa Clara,2015,Child vs. adult,0–17 years,0–17 years,"1,976",44.1,
104,Santa Cruz,2015,Child vs. adult,0–17 years,0–17 years,343,60.8,
105,Shasta,2015,Child vs. adult,0–17 years,0–17 years,300,78.1,
106,Sierra,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
107,Siskiyou,2015,Child vs. adult,0–17 years,0–17 years,43,50.4,
108,Solano,2015,Child vs. adult,0–17 years,0–17 years,"1,141",119.4,
109,Sonoma,2015,Child vs. adult,0–17 years,0–17 years,586,56.9,
110,Stanislaus,2015,Child vs. adult,0–17 years,0–17 years,"1,236",85.8,
111,Sutter,2015,Child vs. adult,0–17 years,0–17 years,121,47.5,
112,Tehama,2015,Child vs. adult,0–17 years,0–17 years,128,85.3,
113,Trinity,2015,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
114,Tulare,2015,Child vs. adult,0–17 years,0–17 years,"1,264",85.5,
115,Tuolumne,2015,Child vs. adult,0–17 years,0–17 years,54,60.9,
116,Ventura,2015,Child vs. adult,0–17 years,0–17 years,"1,271",62.7,
117,Yolo,2015,Child vs. adult,0–17 years,0–17 years,291,67.7,
118,Yuba,2015,Child vs. adult,0–17 years,0–17 years,131,62.5,
119,California,2015,Child vs. adult,18+ years,18+ years,"117,854",40,
120,Alameda,2015,Child vs. adult,18+ years,18+ years,"6,513",53.1,
121,Alpine,2015,Child vs. adult,18+ years,18+ years,0,0,
122,Amador,2015,Child vs. adult,18+ years,18+ years,151,49.1,
123,Butte,2015,Child vs. adult,18+ years,18+ years,736,43.8,
124,Calaveras,2015,Child vs. adult,18+ years,18+ years,139,42.7,
125,Colusa,2015,Child vs. adult,18+ years,18+ years,49,29,
126,Contra Costa,2015,Child vs. adult,18+ years,18+ years,"4,528",54.8,
127,Del Norte,2015,Child vs. adult,18+ years,18+ years,91,41.9,
128,El Dorado,2015,Child vs. adult,18+ years,18+ years,422,32.8,
129,Fresno,2015,Child vs. adult,18+ years,18+ years,"3,454",49.5,
130,Glenn,2015,Child vs. adult,18+ years,18+ years,83,39.4,
131,Humboldt,2015,Child vs. adult,18+ years,18+ years,682,64.8,
132,Imperial,2015,Child vs. adult,18+ years,18+ years,651,47.2,
133,Inyo,2015,Child vs. adult,18+ years,18+ years,55,40.1,
134,Kern,2015,Child vs. adult,18+ years,18+ years,"3,293",50.3,
135,Kings,2015,Child vs. adult,18+ years,18+ years,635,56.1,
136,Lake,2015,Child vs. adult,18+ years,18+ years,363,76.9,
137,Lassen,2015,Child vs. adult,18+ years,18+ years,115,40.2,
138,Los Angeles,2015,Child vs. adult,18+ years,18+ years,"31,687",40.8,
139,Madera,2015,Child vs. adult,18+ years,18+ years,445,37.7,
140,Marin,2015,Child vs. adult,18+ years,18+ years,374,18.3,
141,Mariposa,2015,Child vs. adult,18+ years,18+ years,69,51.8,
142,Mendocino,2015,Child vs. adult,18+ years,18+ years,349,53.4,
143,Merced,2015,Child vs. adult,18+ years,18+ years,"1,315",69.2,
144,Modoc,2015,Child vs. adult,18+ years,18+ years,34,56.7,
145,Mono,2015,Child vs. adult,18+ years,18+ years,27,24.8,
146,Monterey,2015,Child vs. adult,18+ years,18+ years,"1,224",38.3,
147,Napa,2015,Child vs. adult,18+ years,18+ years,382,34.7,
148,Nevada,2015,Child vs. adult,18+ years,18+ years,272,41,
149,Orange,2015,Child vs. adult,18+ years,18+ years,"5,996",24.9,
150,Placer,2015,Child vs. adult,18+ years,18+ years,788,27.9,
151,Plumas,2015,Child vs. adult,18+ years,18+ years,78,53.2,
152,Riverside,2015,Child vs. adult,18+ years,18+ years,"6,194",35.7,
153,Sacramento,2015,Child vs. adult,18+ years,18+ years,"6,824",61.7,
154,San Benito,2015,Child vs. adult,18+ years,18+ years,170,40.9,
155,San Bernardino,2015,Child vs. adult,18+ years,18+ years,"7,742",49.5,
156,San Diego,2015,Child vs. adult,18+ years,18+ years,"7,030",28.3,
157,San Francisco,2015,Child vs. adult,18+ years,18+ years,"2,291",33,
158,San Joaquin,2015,Child vs. adult,18+ years,18+ years,"2,934",56.2,
159,San Luis Obispo,2015,Child vs. adult,18+ years,18+ years,629,31.4,
160,San Mateo,2015,Child vs. adult,18+ years,18+ years,"1,869",31.9,
